date,sku,spend,sales,clicks,impressions
2024-01-01,SKU-001,220,901,28,1800
2024-01-01,SKU-002,234,877,28,2080
2024-01-01,SKU-003,255,866,28,2360
2024-01-01,SKU-004,351,1070,28,2640
2024-01-08,SKU-001,238,994,30,1940
2024-01-08,SKU-002,251,961,31,2220
2024-01-08,SKU-003,271,943,32,2500
2024-01-08,SKU-004,370,1158,33,2780
2024-01-15,SKU-001,256,1090,32,2080
2024-01-15,SKU-002,267,1043,34,2360
2024-01-15,SKU-003,286,1018,36,2640
2024-01-15,SKU-004,389,1248,38,2920
2024-01-22,SKU-001,274,1189,34,2220
2024-01-22,SKU-002,284,1133,37,2500
2024-01-22,SKU-003,302,1099,40,2780
2024-01-22,SKU-004,409,1345,43,3060
2024-01-29,SKU-001,292,1290,36,2360
2024-01-29,SKU-002,300,1220,40,2640
2024-01-29,SKU-003,318,1182,44,2920
2024-01-29,SKU-004,428,1442,30,3200
2024-02-05,SKU-001,310,1271,38,2500
2024-02-05,SKU-002,317,1188,43,2780
2024-02-05,SKU-003,334,1135,30,3060
2024-02-05,SKU-004,448,1366,35,3340
2024-02-12,SKU-001,328,1371,40,2640
2024-02-12,SKU-002,333,1275,28,2920
2024-02-12,SKU-003,350,1217,34,3200
2024-02-12,SKU-004,467,1461,40,1800
2024-02-19,SKU-001,346,1473,42,2780
2024-02-19,SKU-002,350,1368,31,3060
2024-02-19,SKU-003,366,1302,38,3340
2024-02-19,SKU-004,487,1563,45,1940
2024-02-26,SKU-001,220,954,44,2920
2024-02-26,SKU-002,234,933,34,3200
2024-02-26,SKU-003,255,928,42,1800
2024-02-26,SKU-004,351,1154,32,2080
2024-03-04,SKU-001,238,1051,28,3060
2024-03-04,SKU-002,251,1021,37,3340
2024-03-04,SKU-003,271,1008,28,1940
2024-03-04,SKU-004,370,1246,37,2220
2024-03-11,SKU-001,256,1049,30,3200
2024-03-11,SKU-002,267,1001,40,1800
2024-03-11,SKU-003,286,972,32,2080
2024-03-11,SKU-004,389,1186,42,2360
2024-03-18,SKU-001,274,1145,32,3340
2024-03-18,SKU-002,284,1087,43,1940
2024-03-18,SKU-003,302,1050,36,2220
