order_date,order_id,sku,units,revenue,fees,refund
2024-01-01,ORD0001,SKU-001,1,999,139,79
2024-01-01,ORD0002,SKU-002,2,2998,449,0
2024-01-01,ORD0003,SKU-003,3,2397,383,0
2024-01-01,ORD0004,SKU-004,4,7596,1291,0
2024-01-08,ORD0005,SKU-001,2,2077,290,0
2024-01-08,ORD0006,SKU-002,3,4676,701,0
2024-01-08,ORD0007,SKU-003,4,3323,531,0
2024-01-08,ORD0008,SKU-004,1,1974,335,0
2024-01-15,ORD0009,SKU-001,3,3236,453,0
2024-01-15,ORD0010,SKU-002,4,6475,971,0
2024-01-15,ORD0011,SKU-003,1,862,137,0
2024-01-15,ORD0012,SKU-004,2,4101,697,0
2024-01-22,ORD0013,SKU-001,4,4475,626,0
2024-01-22,ORD0014,SKU-002,1,1678,251,0
2024-01-22,ORD0015,SKU-003,2,1789,286,0
2024-01-22,ORD0016,SKU-004,3,6380,1084,0
2024-01-29,ORD0017,SKU-001,1,1158,162,0
2024-01-29,ORD0018,SKU-002,2,3477,521,0
2024-01-29,ORD0019,SKU-003,3,2780,444,0
2024-01-29,ORD0020,SKU-004,4,8811,1497,0
2024-02-05,ORD0021,SKU-001,2,2397,335,0
2024-02-05,ORD0022,SKU-002,3,5396,809,0
2024-02-05,ORD0023,SKU-003,4,3835,613,0
2024-02-05,ORD0024,SKU-004,1,2278,387,0
2024-02-12,ORD0025,SKU-001,3,3716,520,0
2024-02-12,ORD0026,SKU-002,4,7435,1115,0
2024-02-12,ORD0027,SKU-003,1,990,158,0
2024-02-12,ORD0028,SKU-004,2,4709,800,0
2024-02-19,ORD0029,SKU-001,4,5114,715,0
2024-02-19,ORD0030,SKU-002,1,1918,287,0
2024-02-19,ORD0031,SKU-003,2,2045,327,0
2024-02-19,ORD0032,SKU-004,3,7292,1239,0
2024-02-26,ORD0033,SKU-001,1,1318,184,0
2024-02-26,ORD0034,SKU-002,2,3957,593,0
2024-02-26,ORD0035,SKU-003,3,3164,506,0
2024-02-26,ORD0036,SKU-004,4,10026,1704,802
2024-03-04,ORD0037,SKU-001,2,1998,279,0
2024-03-04,ORD0038,SKU-002,3,4497,674,0
2024-03-04,ORD0039,SKU-003,4,3196,511,255
2024-03-04,ORD0040,SKU-004,1,1899,322,0
2024-03-11,ORD0041,SKU-001,3,3116,436,0
2024-03-11,ORD0042,SKU-002,4,6235,935,498
2024-03-11,ORD0043,SKU-003,1,830,132,0
2024-03-11,ORD0044,SKU-004,2,3949,671,0
2024-03-18,ORD0045,SKU-001,4,4315,604,345
2024-03-18,ORD0046,SKU-002,1,1618,242,0
2024-03-18,ORD0047,SKU-003,2,1725,276,0
2024-03-18,ORD0048,SKU-004,3,6152,1045,0
2024-03-25,ORD0049,SKU-001,1,1118,156,0
2024-03-25,ORD0050,SKU-002,2,3357,503,0
2024-03-25,ORD0051,SKU-003,3,2684,429,0
2024-03-25,ORD0052,SKU-004,4,8507,1446,0
2024-04-01,ORD0053,SKU-001,2,2317,324,0
2024-04-01,ORD0054,SKU-002,3,5216,782,0
2024-04-01,ORD0055,SKU-003,4,3707,593,0
2024-04-01,ORD0056,SKU-004,1,2202,374,0
2024-04-08,ORD0057,SKU-001,3,3596,503,0
2024-04-08,ORD0058,SKU-002,4,7195,1079,0
2024-04-08,ORD0059,SKU-003,1,958,153,0
2024-04-08,ORD0060,SKU-004,2,4557,774,182
2024-04-15,ORD0061,SKU-001,4,4955,693,0
2024-04-15,ORD0062,SKU-002,1,1858,278,0
